,rate,fscore,recall,precision
0,10.0,0.5777777777777777,1.0,0.40625
1,20.0,0.5909090909090909,1.0,0.41935483870967744
2,30.0,0.5531914893617021,1.0,0.38235294117647056
3,40.0,0.5531914893617021,1.0,0.38235294117647056
4,50.0,0.5909090909090909,1.0,0.41935483870967744
5,60.0,0.5909090909090909,1.0,0.41935483870967744
6,70.0,0.5652173913043478,1.0,0.3939393939393939
7,80.0,0.5531914893617021,1.0,0.38235294117647056
8,90.0,0.5531914893617021,1.0,0.38235294117647056
9,100.0,0.5416666666666666,1.0,0.37142857142857144
